food,calories,fat,carbs,protein
bean with bacon soup,106,2.1,16.4,5.5
fish stock,40,1.9,0.0,5.3
split pea soup with ham,381,8.9,56.2,20.7
beef broth soup,17,0.5,0.01,2.7
lentil soup with ham,139,2.8,20.2,9.3
tomato soup,98,0.7,22.5,2.2
fish broth,39,1.5,1.0,4.9
chili without beans canned,283,17.0,14.6,18.1
minestrone soup,167,5.0,22.6,8.6
clam chowder soup,154,4.4,24.5,4.4
tomato vegetable soup,54,0.8,9.9,1.9
cream of rice coup,127,0.2,28.1,2.2
cream of celery soup,181,11.2,17.7,3.3
chicken gravy,188,13.6,12.9,4.6
tomato rice soup,240,5.5,44.1,4.2
vegetable beef soup,128,2.0,9.6,18.1
tomato beef noodle soup,281,8.6,42.3,8.9
oyster stew soup,118,7.7,8.2,4.2
ramen noodle soup dry,371,13.3,53.9,8.9
chicken noodle soup,145,4.7,18.4,7.2
chicken bouillon dry,11,0.6,0.7,0.7
cream of asparagus soup,174,8.2,21.5,4.6
turkey noodle soup,139,4.0,17.3,7.8
cream of shrimp soup,181,10.4,16.5,5.6
bean with pork soup,335,11.5,44.1,15.3
chicken broth,12,0.5,1.0,1.0
beef broth powder,8,0.3,0.6,0.6
split pea soup,180,2.3,29.9,9.7
escarole soup,61,4.0,4.0,3.4
chicken stock,86,2.9,8.5,6.0
tomato bisque soup,248,5.0,47.7,4.5
shark fin soup,99,4.3,8.2,6.9
onion soup,113,3.5,16.4,7.5
chicken gumbo soup,113,2.9,16.8,5.3
crab soup,95,0.8,12.5,10.4
tripe soup,148,5.2,8.1,17.2
little india little lunch,164,10.6,2.0,0.0
original chicken sandwich chick fil a,125,5.1,0.0,0.0
sausage mcmuffin mcdonalds,383,24.2,28.2,14.6
sausage mcgriddles mcdonalds,421,24.0,42.2,11.4
crispy chicken drumstick kentucky fried chicken,70,3.0,0.0,10.6
chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5,11.8
biscuit kentucky fried chicken,185,9.1,22.1,3.8
english muffin mcdonalds,97,2.3,2.9,5.7
french fries mcdonalds,378,18.1,49.8,4.0
hotdog,383,23.0,28.5,16.4
french fries burger king,207,9.2,28.6,2.4
original taco with beef cheese lettuce taco bell,158,8.8,13.7,6.1
hotdog with chili,296,13.4,31.3,13.5
chicken crispy wings kentucky fried chicken,148,10.1,5.1,9.2
egg white delight mcdonalds,250,16.0,0.0,0.0
french toast sticks burger king,73,3.7,8.7,1.3
mcchicken mcdonalds,358,17.3,36.6,13.7
nachos supreme taco bell,480,26.6,45.0,14.8
crispy chicken wing kentucky fried chicken,104,5.3,1.3,12.6
chicken strips burger king,105,5.5,7.4,6.6
crispy chicken breast kentucky fried chicken,214,6.7,0.4,38.2
sausage biscuit mcdonalds,440,29.7,31.8,11.3
sausage burrito mcdonalds,339,17.1,24.2,13.0
onion rings fried,27,1.6,2.8,0.3
onion rings burger king,379,23.0,39.7,3.5
turkey patty fried,79,5.0,4.4,3.9
hotcakes with syrup mcdonalds,601,17.8,101.8,9.0
crispy chicken thigh kentucky fried chicken,163,9.1,0.0,20.4
corn dog,195,9.4,21.0,6.7
chicken box mcdonalds,70,4.0,5.5,0.2
potato wedges kentucky fried chicken,379,19.8,45.0,5.4
scrambled eggs mcdonalds,98,7.5,0.9,7.7
egg mcmuffin mcdonalds,287,12.2,27.3,17.2
nachos taco bell,362,21.9,36.0,5.1
biscuit large mcdonalds,310,14.4,39.4,5.5
crispy chicken strips kentucky fried chicken,129,7.2,6.4,9.5
hotcakes mcdonalds,113,2.9,19.0,3.0
chicken crispy breast kentucky fried chicken,375,23.2,11.9,29.7
hotcakes sausage mcdonalds,776,34.9,102.4,15.5
chicken mcnuggets mcdonalds,48,3.2,2.4,2.5
chips chipotle,151,7.1,2.1,0.2
biscuit mcdonalds,261,12.2,33.3,4.7
rice bowl with chicken,36,0.4,6.4,1.6
spaghetti with meatballs,200,8.2,22.9,8.7
meat ravioli canned,259,8.9,36.0,8.9
cheese ravioli canned,186,3.5,33.0,6.0
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,59.8,35.3
steak sandwich,459,14.1,52.0,30.3
cheeseburger burger king,380,19.7,31.5,19.4
cheeseburger mcdonalds,313,14.0,33.1,15.4
double cheeseburger,643,36.9,41.0,37.0
double hamburger,942,58.6,51.4,52.1
premium grilled chicken classic sandwich mcdonalds,366,8.6,44.6,28.3
big n tasty with cheese mcdonalds,573,36.0,39.7,27.2
premium grilled chicken club sandwich mcdonalds,493,18.0,44.3,38.3
quarter pounder mcdonalds,417,19.8,37.9,24.1
premium crispy chicken classic sandwich mcdonalds,524,20.0,58.6,27.8
veggie burger,124,4.4,10.0,11.0
quarter pounder with cheese mcdonalds,513,28.3,39.7,29.0
beef sandwich steak raw,173,15.1,0.0,9.2
cheeseburger,292,13.2,28.7,15.0
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,44.3,33.7
double whopper with cheese burger king,1061,68.1,53.9,57.7
big mac mcdonalds,563,32.8,44.0,25.9
sandwich with cold cuts,833,39.3,79.9,41.1
filet o fish mcdonalds,378,19.6,35.4,15.1
hand breaded chicken tenders carls jr,57,2.9,0.2,0.0
grilled chicken sandwich wendys,370,8.0,0.0,0.0
sandwich with roast beef,410,13.0,44.3,28.6
hamburger burger king,258,10.4,26.5,14.7
big n tasty mcdonalds,524,31.7,38.5,24.7
roast beef sandwich,364,15.3,33.1,22.6
roast beef sandwich with cheese,473,18.0,45.4,32.2
hamburger,255,9.9,28.7,12.9
premium fish sandwich burger king,572,27.4,58.7,22.6
whopper burger king,790,48.4,52.8,35.4
sandwich with tuna salad,584,28.0,55.4,29.7
original chicken sandwich burger king,569,29.2,52.2,24.2
double whopper burger king,942,58.6,51.4,52.1
premium crispy chicken club sandwich mcdonalds,635,29.9,57.4,39.1
hamburger mcdonalds,251,9.6,28.8,12.3
pepperoni pizza dominos,308,12.6,36.0,12.7
sausage pizza,325,14.3,35.5,13.3
pepperoni pizza,313,13.2,35.5,13.0
pepperoni pizza pizza hut,269,10.9,30.3,12.3
cheese pizza pizza hut,260,10.5,30.0,11.5
cheese pizza,285,10.4,35.7,12.2
cheese pizza dominos,278,9.7,35.9,11.7
meat vegetable pizza,332,14.8,34.5,15.0
sucker raw,146,3.7,0.0,26.6
northern pike raw,348,2.7,0.0,76.3
haddock cooked,135,0.8,0.0,30.0
burbot cooked,104,0.9,0.0,22.3
pollock cooked,356,3.8,0.0,75.3
rainbow smelt raw,27,0.7,0.0,5.0
whitefish cooked,265,11.6,0.0,37.7
walleye pike raw,148,1.9,0.0,30.4
carp cooked,275,12.2,0.0,38.9
wolffish cooked,293,7.3,0.0,53.4
snapper cooked,218,2.9,0.0,44.7
roe cooked,58,2.3,0.5,8.1
anchovy raw,37,1.4,0.0,5.8
herring raw,291,16.6,0.0,33.0
cod raw,189,1.5,0.0,41.1
tilapia raw,111,2.0,0.0,23.3
whiting cooked,84,1.2,0.0,16.9
skipjack tuna cooked,407,4.0,0.0,86.9
salmon cooked,733,44.0,0.0,78.7
chum salmon cooked,474,14.9,0.0,79.5
american shad cooked,363,25.4,0.0,31.3
shark cooked,65,3.9,1.8,5.3
trout cooked,118,5.3,0.0,16.5
swordfish raw,196,9.0,0.0,26.7
rainbow trout cooked,119,5.2,0.0,16.9
fish sandwich with cheese,374,19.6,35.4,15.1
jellyfish dried,21,0.8,0.0,3.2
mullet raw,139,4.5,0.0,23.0
halibut cooked,353,5.1,0.0,71.7
lingcod raw,213,2.7,0.0,44.2
orange roughy cooked,30,0.3,0.0,6.4
cisco raw,77,1.5,0.0,15.0
florida pompano cooked,186,10.7,0.0,20.8
snapper raw,218,2.9,0.0,44.7
fish sandwich,565,27.4,58.7,22.6
haddock raw,143,0.9,0.0,31.5
ocean perch raw,51,1.0,0.0,9.8
cuttlefish cooked,45,0.4,0.5,9.2
cod cooked,189,1.5,0.0,41.1
seatrout raw,248,8.6,0.0,39.8
flounder raw,114,3.1,0.0,20.2
spot cooked,79,3.1,0.0,11.9
walleye pike cooked,148,1.9,0.0,30.4
perch raw,55,0.6,0.0,11.6
pumpkin seed sunfish raw,43,0.3,0.0,9.3
salt mackerel,415,34.1,0.0,25.2
mackerel cooked,231,15.7,0.0,21.0
tilapia cooked,111,2.3,0.0,22.8
drum raw,236,9.8,0.0,34.7
atlantic croaker fried,192,11.0,6.6,15.8
pumpkin seed sunfish cooked,42,0.3,0.0,9.2
wolffish raw,294,7.3,0.0,53.6
bluefin tuna cooked,276,9.4,0.0,44.9
scup cooked,68,1.8,0.0,12.1
herring cooked,290,16.6,0.0,32.9
bluefish raw,186,6.4,0.0,30.1
sheepshead cooked,234,3.0,0.0,48.4
bass cooked,91,2.9,0.0,15.0
pout cooked,279,3.2,0.0,58.4
chinook salmon raw,709,41.3,0.0,78.9
rockfish raw,172,2.6,0.0,35.1
tilefish raw,371,8.9,0.0,67.6
scup raw,174,4.5,0.0,31.3
sablefish cooked,755,59.3,0.0,51.9
tuna salad,383,19.0,19.3,32.9
coho salmon cooked,255,11.8,0.0,34.7
roe raw,20,0.9,0.2,3.1
sea bass raw,125,2.6,0.0,23.8
pink salmon cooked,349,12.0,0.0,56.0
sockeye salmon cooked,493,17.3,0.0,82.1
whitefish raw,265,11.6,0.0,37.8
greenland halibut cooked,760,56.4,0.0,58.6
northern pike cooked,350,2.7,0.0,76.5
salmon raw,824,53.1,0.0,80.9
turbot cooked,388,12.0,0.0,65.4
surimi,28,0.3,1.9,4.3
chinook salmon cooked,711,41.2,0.0,79.2
mullet cooked,140,4.5,0.0,23.1
chum salmon raw,3,0.1,0.0,0.6
butterfish raw,47,2.6,0.0,5.5
sea bass cooked,125,2.6,0.0,23.9
greenland halibut raw,759,56.5,0.0,58.6
halibut raw,371,5.4,0.0,75.7
sturgeon cooked,184,7.0,0.0,28.2
fish fillet fried,211,11.2,15.4,13.3
rainbow trout raw,111,4.9,0.0,15.8
pout raw,278,3.2,0.0,58.6
rainbow smelt cooked,35,0.9,0.0,6.4
monkfish raw,22,0.4,0.0,4.1
trout raw,117,5.2,0.0,16.4
shark raw,37,1.3,0.0,5.9
burbot raw,104,0.9,0.0,22.4
dolphinfish cooked,173,1.4,0.0,37.7
crayfish cooked,25,0.4,0.0,5.0
dolphinfish raw,173,1.4,0.0,37.7
perch cooked,54,0.5,0.0,11.4
cusk raw,106,0.8,0.0,23.2
bluefin tuna raw,41,1.4,0.0,6.6
milkfish cooked,54,2.4,0.0,7.4
carp raw,277,12.2,0.0,38.9
sturgeon raw,30,1.1,0.0,4.6
orange roughy raw,22,0.2,0.0,4.6
catfish fried,199,11.6,7.0,15.7
cuttlefish raw,22,0.2,0.2,4.6
bass raw,90,2.9,0.0,14.9
flounder cooked,109,3.0,0.0,19.4
milkfish raw,42,1.9,0.0,5.8
eel raw,375,23.8,0.0,37.6
catfish raw,189,9.4,0.0,24.2
fish sticks,78,4.5,6.1,3.1
coho salmon raw,254,12.2,0.0,33.8
monkfish cooked,27,0.6,0.0,5.3
yellowtail cooked,546,19.6,0.0,86.6
yellowfin tuna cooked,37,0.2,0.0,8.2
ling cooked,168,1.2,0.0,36.8
eel cooked,67,4.2,0.0,6.7
sablefish raw,753,59.1,0.0,51.8
salmon nuggets,60,3.3,4.0,3.6
yellowtail raw,546,19.6,0.0,86.5
butterfish cooked,47,2.6,0.0,5.5
caviar,42,2.9,0.6,3.9
pollock raw,355,3.8,0.0,75.0
catfish cooked,206,10.3,0.0,26.4
whiting raw,83,1.2,0.0,16.8
pink salmon raw,404,14.0,0.0,65.2
yellowfin tuna raw,31,0.1,0.0,6.9
mackerel raw,230,15.6,0.0,20.8
turbot raw,388,12.0,0.0,65.5
cusk cooked,106,0.8,0.0,23.1
atlantic croaker raw,82,2.5,0.0,14.0
sucker cooked,148,3.7,0.0,26.6
spot raw,79,3.1,0.0,11.8
drum cooked,236,9.7,0.0,34.6
crayfish raw,3,0.048,0.0,0.6
tilefish cooked,441,14.1,0.0,73.5
bluefish cooked,186,6.4,0.0,30.1
grouper cooked,238,2.6,0.0,50.2
sheepshead raw,257,5.7,0.0,48.1
herring kippered,87,4.9,0.0,9.8
grouper raw,238,2.6,0.0,50.2
ocean perch cooked,48,0.9,0.0,9.3
ling raw,168,1.2,0.0,36.7
lingcod cooked,329,4.1,0.0,68.4
